id,name,street,zip_code,city
DHL Paketshop 827,Kiosk &amp; Trinkhalle Akcaoglu,Alarichstr. 56,50679,Köln
Postfiliale 499,E &amp; N Schreibwaren,Antwerpener Str. 18,50672,Köln
DHL Paketshop 648,Kiosk 16,Siegesstr. 16,50679,Köln
DHL Paketshop 682,REWE Hüseyin Bilkay OHG,Hohenzollernring 79-83,50672,Köln
Packstation 112,"Hauptbahnhof, Zugang U-Bahn",Trankgasse 11,50667,Köln
DHL Paketshop 471,Kiosk mal anders,Justinianstr. 2,50679,Köln
DHL Paketshop 529,ARAL Tankstelle Köln-Lindenthal,Aachener Str. 203,50931,Köln
DHL Paketshop 445,REWE Markt GmbH,Venloer Str. 23,50672,Köln
DHL Paketshop 451,Kiosk M.I.S.,Kaiser-Wilhelm-Ring 2-4,50672,Köln
Postbank Filiale 538,N/A,Gereonstr. 38,50670,Köln
Packstation 111,"Eingang Breslauer Platz, Pass",Trankgasse 11,50667,Köln
DHL Paketshop 674,REWE Buhrandt OHG,Venloer Str. 41,50672,Köln
Postfiliale 580,Staples,Rolshover Str. 384,51105,Köln
Packstation 127,"Bahnhof Deutz, Ausgang Messe,",Ottoplatz 7,50679,Köln
Packstation 128,"Ecke Reitweg, Studentenwohnhe",Deutz-Kalker Str. 114,50679,Köln
DHL Paketshop 417,Kiosk Khalil,Gremberger Str. 18,51105,Köln
Postfiliale 573,Stehcafé 43,Domstr. 43-45,50668,Köln
Packstation 137,Esso Tankstelle,Dürener Str. 287,50935,Köln
Paketbox ,,Dürener Str. 287,50935,Köln
Packstation 251,,Am Eifeltor 12,50997,Köln
DHL Paketshop 622,Action-Discounter,Eigelstein 57-59,50668,Köln
DHL Paketshop 401,Schreibwaren Schulz,Gremberger Str. 57,51105,Köln
Postfiliale 470,,Hauptstr. 57,50996,Köln
DHL Paketshop 452,SB-Tank Station Piccialli,Berrenrather Str. 574,50354,Hürth
Packstation 160,SB-Tankstelle,Berrenrather Str. 574,50354,Hürth
DHL Paketshop 733,Barmenia Versicherungen,Ringstr. 4,50996,Köln
DHL Paketshop 811,Kiosk Lukas,Hansaring 52,50670,Köln
DHL Paketshop 736,Handyzwerg,Ringstr. 6,50996,Köln
Packstation 188,LIDL Markt,An der Pulvermühle 2,51105,Köln
Packstation 108,"Ecke Innere Kanalstr., Teleko",Venloer Str. 156,50672,Köln
Packstation 130,Studierendendorf,Hahnenstr. 29,50354,Hürth
DHL Paketshop 429,Heizöl Lambertz,Usingerstr. 89-91,51105,Köln
Packstation 273,REWE Markt,Vogelsanger Str. 16,50823,Köln
DHL Paketshop 716,Foto Vision,Weidengasse 52,50668,Köln
DHL Paketshop 405,Theaterkasse,Hansaring 64,50670,Köln
DHL Paketshop 420,REWE Oliver Frank OHG,Weißdornweg 2,50997,Köln
DHL Paketshop 434,REWE Markt GmbH,Vogelsanger Str. 16,50823,Köln
Packstation 255,REWE Markt,Weißdornweg 2,50997,Köln
Packstation 159,Aral Tankstelle,Luxemburger Str. 58,50354,Hürth
Packstation 272,,Zum Komarhof 1,50354,Hürth
Packstation 400,,Werthmannstr. 1,50935,Köln
DHL Paketshop 650,Mobilfunk Cinar,Gereonswall 6,50668,Köln
DHL Paketshop 457,Kiosk Linden,Vogelsanger Str. 48,50823,Köln
DHL Paketshop 652,Kiosk Khider,Krefelder Str. 1,50670,Köln
DHL Paketshop 403,Lotto Tabak Presse Hönerbach,Eigelstein 145,50668,Köln
DHL Paketshop 494,Super Shop,Clever Str. 1,50668,Köln
Packstation 189,LIDL Markt,Gremberger Str. 132,51105,Köln
