id,name,street,zip_code,city
Postfiliale 864kesselsdorfer str. 8101159dresden,presse/ lotto/ post,kesselsdorfer str. 81,01159,dresden
Postfiliale 489heidestr. 1-301127dresden,dienstleistungsservice by rossi,heidestr. 1-3,01127,dresden
Packstation 219kesselsdorfer str. 11401159dresden,,kesselsdorfer str. 114,01159,dresden
Postbank Filiale 531gerokstr. 1801307dresden,N/A,gerokstr. 18,01307,dresden
Packstation 135großenhainer str. 119a01127dresden,"edeka markt, zufahrt heidestr",großenhainer str. 119a,01127,dresden
DHL Paketshop 474warthaer str. 2201157dresden,büro- und schulbedarf großmann,warthaer str. 22,01157,dresden
DHL Paketshop großenhainer str. 10901127dresden,edeka zschabran,großenhainer str. 109,01127,dresden
Postfiliale 791pfotenhauerstr. 701307dresden,konsum frische markt,pfotenhauerstr. 7,01307,dresden
Packstation 109pfotenhauerstr. 701307dresden,konsum markt,pfotenhauerstr. 7,01307,dresden
Postfiliale 470leipziger str. 15901139dresden,chono post,leipziger str. 159,01139,dresden
DHL Paketshop 692trachenberger str. 1901129dresden,herby's tee- & kräuterhandel,trachenberger str. 19,01129,dresden
DHL Paketshop 518saalhausener str. 5001159dresden,insbesondere floristik,saalhausener str. 50,01159,dresden
Packstation 228washingtonstr. 1201139dresden,esso tankstelle,washingtonstr. 12,01139,dresden
Packstation 141wundtstr. 701217dresden,"studentenwohnheim, parkplatz",wundtstr. 7,01217,dresden
Postfiliale 490wiener str. 7601219dresden,lts presseshop,wiener str. 76,01219,dresden
DHL Paketshop nicolaistr. 2201307dresden,salzgrotte,nicolaistr. 22,01307,dresden
Postfiliale peschelstr. 3301139dresden,cigo,peschelstr. 33,01139,dresden
Postfiliale 509großenhainer str. 16301129dresden,,großenhainer str. 163,01129,dresden
Postfiliale 515merianplatz 401169dresden,scheller`s papeterie & geschenkew.,merianplatz 4,01169,dresden
Postfiliale 519paradiesstr. 4001217dresden,schreiberli am paradiesgarten,paradiesstr. 40,01217,dresden
Postfiliale 685provianthofstr. 301099dresden,presseshop,provianthofstr. 3,01099,dresden
Packstation 138provianthofstr. 301099dresden,edeka markt,provianthofstr. 3,01099,dresden
Packstation 159großenhainer str. 15601129dresden,lidl markt,großenhainer str. 156,01129,dresden
Packstation 226großenhainer str. 15601129dresden,lidl markt,großenhainer str. 156,01129,dresden
Postfiliale 511leipziger str. 29401139dresden,glücksgriff,leipziger str. 294,01139,dresden
DHL Paketshop 733südhöhe 8001217dresden,pfennigpfeiffer,südhöhe 80,01217,dresden
Postfiliale kohlenstr. 1801189dresden,presseshop,kohlenstr. 18,01189,dresden
Packstation 204kesselsdorfer str. 15801169dresden,aldi markt,kesselsdorfer str. 158,01169,dresden
Postfiliale 454fetscherstr. 7401307dresden,lotto-tabak presse hofeditz,fetscherstr. 74,01307,dresden
Postfiliale 862borsbergstr. 2201309dresden,sinning,borsbergstr. 22,01309,dresden
Packstation 148bulgakowstr. 701217dresden,"aldi markt, parkplatz",bulgakowstr. 7,01217,dresden
Packstation 146harthaer str. 301169dresden,"dresden karree, am seiteneing",harthaer str. 3,01169,dresden
Postfiliale 642harthaer str. 301169dresden,tabac & co,harthaer str. 3,01169,dresden
Postfiliale 504am brauhaus 101099dresden,papierladen/ lts presseshops,am brauhaus 1,01099,dresden
Packstation 171meißner str. 501445radebeul,,meißner str. 5,01445,radebeul
DHL Paketshop 537lockwitzer str. 1301219dresden,pfennigpfeiffer,lockwitzer str. 13,01219,dresden
